date Thu May 15 10:30:55.376 AM 2025
base hex  timestamps absolute
internal events logged
Begin Triggerblock Thu May 15 10:30:55.404 AM 2025
 0.000000 Start of measurement
 0.259761 1  ErrorFrame
 0.261119 1  ErrorFrame
 0.262476 1  ErrorFrame
 0.263836 1  ErrorFrame
 0.265211 1  ErrorFrame
 0.266560 1  ErrorFrame
 0.267924 1  ErrorFrame
 0.269326 1  ErrorFrame
 0.270663 1  ErrorFrame
 0.272048 1  ErrorFrame
 0.273421 1  ErrorFrame
 0.274725 1  ErrorFrame
 0.276088 1  ErrorFrame
 0.277445 1  ErrorFrame
 0.278800 1  ErrorFrame
 0.280160 1  ErrorFrame
 0.281514 1  ErrorFrame
 0.282874 1  ErrorFrame
 0.284245 1  ErrorFrame
 0.285599 1  ErrorFrame
 0.286961 1  ErrorFrame
 0.288330 1  ErrorFrame
 0.289701 1  ErrorFrame
 0.291041 1  ErrorFrame
 0.292400 1  ErrorFrame
 0.293762 1  ErrorFrame
 0.295119 1  ErrorFrame
 0.296475 1  ErrorFrame
 0.297835 1  ErrorFrame
 0.299193 1  ErrorFrame
 0.300567 1  ErrorFrame
 0.301936 1  ErrorFrame
 0.303282 1  ErrorFrame
 0.304657 1  ErrorFrame
 0.306002 1  ErrorFrame
 0.307361 1  ErrorFrame
 0.308722 1  ErrorFrame
 0.310095 1  ErrorFrame
 0.311439 1  ErrorFrame
 0.312799 1  ErrorFrame
 0.314160 1  ErrorFrame
 0.315524 1  ErrorFrame
 0.316889 1  ErrorFrame
 0.318240 1  ErrorFrame
 0.319600 1  ErrorFrame
 0.320962 1  ErrorFrame
 0.322331 1  ErrorFrame
 0.323678 1  ErrorFrame
 0.325036 1  ErrorFrame
 0.326397 1  ErrorFrame
 0.327762 1  ErrorFrame
 0.329121 1  ErrorFrame
 0.330498 1  ErrorFrame
 0.331843 1  ErrorFrame
 0.333204 1  ErrorFrame
 0.334556 1  ErrorFrame
 0.335915 1  ErrorFrame
 0.337278 1  ErrorFrame
 0.338656 1  ErrorFrame
 0.340043 1  ErrorFrame
 0.341393 1  ErrorFrame
 0.342724 1  ErrorFrame
 0.344088 1  ErrorFrame
 0.345439 1  ErrorFrame
 0.346798 1  ErrorFrame
 0.348161 1  ErrorFrame
 0.349523 1  ErrorFrame
 0.350894 1  ErrorFrame
 0.352261 1  ErrorFrame
 0.353609 1  ErrorFrame
 0.354976 1  ErrorFrame
 0.356324 1  ErrorFrame
 0.357676 1  ErrorFrame
 0.359036 1  ErrorFrame
 0.360397 1  ErrorFrame
 0.361762 1  ErrorFrame
 0.363119 1  ErrorFrame
 0.364476 1  ErrorFrame
 0.365839 1  ErrorFrame
 0.367198 1  ErrorFrame
 0.368557 1  ErrorFrame
 0.369971 1  ErrorFrame
 0.371336 1  ErrorFrame
 0.372652 1  ErrorFrame
 0.374000 1  ErrorFrame
 0.375360 1  ErrorFrame
 0.376715 1  ErrorFrame
 0.378075 1  ErrorFrame
 0.379441 1  ErrorFrame
 0.380801 1  ErrorFrame
 0.382157 1  ErrorFrame
 0.383512 1  ErrorFrame
 0.384879 1  ErrorFrame
 0.386243 1  ErrorFrame
 0.387619 1  ErrorFrame
 0.388964 1  ErrorFrame
 0.390319 1  ErrorFrame
 0.391690 1  ErrorFrame
 0.393041 1  ErrorFrame
 0.394400 1  ErrorFrame
 0.395769 1  ErrorFrame
 0.397123 1  ErrorFrame
 0.398474 1  ErrorFrame
 0.399837 1  ErrorFrame
 0.401206 1  ErrorFrame
 0.402573 1  ErrorFrame
 0.403933 1  ErrorFrame
 0.405303 1  ErrorFrame
 0.406643 1  ErrorFrame
 0.408037 1  ErrorFrame
 0.409361 1  ErrorFrame
 0.410717 1  ErrorFrame
 0.412098 1  ErrorFrame
 0.413441 1  ErrorFrame
 0.414798 1  ErrorFrame
 0.416159 1  ErrorFrame
 0.417524 1  ErrorFrame
 0.418877 1  ErrorFrame
 0.420236 1  ErrorFrame
 0.421604 1  ErrorFrame
 0.422955 1  ErrorFrame
 0.424322 1  ErrorFrame
 0.425675 1  ErrorFrame
 0.427035 1  ErrorFrame
 0.428404 1  ErrorFrame
 0.429758 1  ErrorFrame
 0.431117 1  ErrorFrame
 0.432487 1  ErrorFrame
 0.433852 1  ErrorFrame
 0.435200 1  ErrorFrame
 0.436561 1  ErrorFrame
 0.437944 1  ErrorFrame
 0.439288 1  ErrorFrame
 0.440642 1  ErrorFrame
 0.441998 1  ErrorFrame
 0.443362 1  ErrorFrame
 0.444721 1  ErrorFrame
 0.446074 1  ErrorFrame
 0.447437 1  ErrorFrame
 0.448798 1  ErrorFrame
 0.450161 1  ErrorFrame
 0.451546 1  ErrorFrame
 0.452919 1  ErrorFrame
 0.454284 1  ErrorFrame
 0.455605 1  ErrorFrame
 0.456960 1  ErrorFrame
 0.458315 1  ErrorFrame
 0.459689 1  ErrorFrame
 0.461043 1  ErrorFrame
 0.462398 1  ErrorFrame
 0.463759 1  ErrorFrame
 0.465123 1  ErrorFrame
 0.466479 1  ErrorFrame
 0.467838 1  ErrorFrame
 0.469200 1  ErrorFrame
 0.470580 1  ErrorFrame
 0.472015 1  ErrorFrame
 0.473306 1  ErrorFrame
 0.474648 1  ErrorFrame
 0.476042 1  ErrorFrame
 0.477362 1  ErrorFrame
 0.478718 1  ErrorFrame
 0.480082 1  ErrorFrame
 0.481442 1  ErrorFrame
 0.482801 1  ErrorFrame
 0.484161 1  ErrorFrame
 0.485519 1  ErrorFrame
 0.486876 1  ErrorFrame
 0.488255 1  ErrorFrame
 0.489602 1  ErrorFrame
 0.490958 1  ErrorFrame
 0.492323 1  ErrorFrame
 0.493692 1  ErrorFrame
 0.495039 1  ErrorFrame
 0.496498 1  ErrorFrame
 0.497845 1  ErrorFrame
 0.499156 1  ErrorFrame
 0.500476 1  ErrorFrame
 0.501829 1  ErrorFrame
 0.503193 1  ErrorFrame
 0.504563 1  ErrorFrame
 0.505909 1  ErrorFrame
 0.507283 1  ErrorFrame
 0.508700 1  ErrorFrame
 0.510079 1  ErrorFrame
 0.511384 1  ErrorFrame
 0.512754 1  ErrorFrame
 0.514171 1  ErrorFrame
 0.515523 1  ErrorFrame
 0.516901 1  ErrorFrame
 0.518496 1  ErrorFrame
 0.519730 1  ErrorFrame
 0.521064 1  ErrorFrame
 0.522322 1  ErrorFrame
 0.523738 1  ErrorFrame
 0.525069 1  ErrorFrame
 0.526447 1  ErrorFrame
 0.527828 1  ErrorFrame
 0.529345 1  ErrorFrame
 0.530785 1  ErrorFrame
 0.532398 1  ErrorFrame
 0.533203 1  ErrorFrame
 0.534535 1  ErrorFrame
 0.535920 1  ErrorFrame
 0.537291 1  ErrorFrame
 0.538627 1  ErrorFrame
 0.540176 1  ErrorFrame
 0.541355 1  ErrorFrame
 0.542693 1  ErrorFrame
 0.544076 1  ErrorFrame
 0.545362 1  ErrorFrame
 0.546722 1  ErrorFrame
 0.548077 1  ErrorFrame
 0.549438 1  ErrorFrame
 0.550792 1  ErrorFrame
 0.552185 1  ErrorFrame
 0.553524 1  ErrorFrame
 0.554903 1  ErrorFrame
 0.556238 1  ErrorFrame
 0.557589 1  ErrorFrame
 0.558952 1  ErrorFrame
 0.560325 1  ErrorFrame
 0.561668 1  ErrorFrame
 0.563028 1  ErrorFrame
 0.564389 1  ErrorFrame
 0.565766 1  ErrorFrame
 0.567110 1  ErrorFrame
 0.568472 1  ErrorFrame
 0.569842 1  ErrorFrame
 0.571280 1  ErrorFrame
 0.572597 1  ErrorFrame
 0.573957 1  ErrorFrame
 0.575308 1  ErrorFrame
 0.576653 1  ErrorFrame
 0.578008 1  ErrorFrame
 0.579356 1  ErrorFrame
 0.580729 1  ErrorFrame
 0.582072 1  ErrorFrame
 0.583435 1  ErrorFrame
 0.584792 1  ErrorFrame
 0.586157 1  ErrorFrame
 0.587522 1  ErrorFrame
 0.588897 1  ErrorFrame
 0.590239 1  ErrorFrame
 0.591593 1  ErrorFrame
 0.592951 1  ErrorFrame
